runtime,inst_num,plan_cpu,plan_gpu,gpu_type,cpu_usage,gpu_wrk_util,net_read,net_write
211600.0,2.0,1600.0,100.0,MISC,1372.1192588212102,71.75251231527093,17.433705298614324,19.377490097225593
205524.0,2.0,1600.0,100.0,MISC,1256.6354032465856,73.01081637908834,1.663549615687588,3.3554676158980645
209126.0,2.0,1600.0,100.0,MISC,1379.7881484697198,70.25016272510304,2.0170773949112806,4.095231690964372
201824.0,8.0,600.0,50.0,MISC,551.0189138070791,2.3597083445854707,11.786074899609849,4.234238024262795
201822.0,8.0,600.0,50.0,MISC,567.3469332612807,3.5052660005401024,10.86811206563241,4.275275487759582
201822.0,8.0,600.0,50.0,MISC,537.4596055120238,1.923305428031326,10.731615072099656,4.289355157099638
201831.0,8.0,600.0,50.0,MISC,402.42995951417015,3.692390717754992,7.762364127083656,4.393986194029137
202662.0,8.0,600.0,50.0,MISC,572.4801517067003,2.410010111223458,11.39568078008841,5.0741125719359985
202660.0,8.0,600.0,50.0,MISC,86.3959018466987,0.0010116337885685,3.987181519828529,5.549190267253446
202673.0,8.0,600.0,50.0,MISC,551.6017184735912,3.3976755937342094,10.841427680818402,5.085365500762313
202658.0,8.0,600.0,50.0,MISC,530.7116114343537,3.3586241780475468,10.397325216186246,5.1224490073469475
91640.0,8.0,600.0,50.0,MISC,688.5072118565569,41.66053710808308,35.81950393424694,33.22488035072091
91656.0,8.0,600.0,50.0,MISC,508.1293479698453,27.83657278857596,29.75915314439691,27.625565222973204
91639.0,8.0,600.0,50.0,MISC,523.4625562318074,21.59021164021164,6.514679463217577,6.054728701613134
14088.0,15.0,500.0,50.0,MISC,630.4323483670297,29.03493788819876,11.055820909774173,10.951098427095491
14116.0,15.0,500.0,50.0,MISC,552.2577399380805,25.809891808346208,33.63671367621795,33.30204065613321
13375.0,15.0,500.0,50.0,MISC,539.2863777089783,31.42658423493045,11.71602431545394,11.598539056616275
60358.0,2.0,1800.0,800.0,V100M32,2667.068540095956,521.7007024156245,6.238319362517071,2.601204920191868
60356.0,2.0,1800.0,800.0,V100M32,2654.851953392735,526.2150077094399,6.238336359196501,2.601204705167883
731.0,5.0,200.0,100.0,MISC,1289.9115646258506,47.38255033557047,2.1426860171536735,1.088964120145665
1058.0,5.0,200.0,100.0,MISC,990.0516431924884,33.177570093457945,2.460081228262021,1.1097046701513504
25229.0,8.0,2000.0,50.0,MISC,93.160293243511,27.60546642899584,18.886748245919105,18.902210348816496
25233.0,8.0,2000.0,50.0,MISC,105.14469772051535,28.18617548029313,18.889456272299373,18.908853184442858
25228.0,8.0,2000.0,50.0,MISC,115.10921704658077,24.14401743264659,18.89235883997819,18.908590251786105
25270.0,8.0,2000.0,50.0,MISC,117.5396636993076,28.04389954518489,9.430945170939427,9.43835402995395
25226.0,8.0,2000.0,50.0,MISC,140.57205153617443,24.688329700812364,18.892910031948634,18.912827686567553
22268.0,8.0,2000.0,100.0,MISC,117.88524590163937,31.84560143626571,21.39950586293734,21.41771234844581
22270.0,8.0,2000.0,100.0,MISC,118.93801931282282,31.24932675044884,21.399447131394634,21.420995592489252
22270.0,8.0,2000.0,100.0,MISC,133.1585448012576,31.589766606822263,21.403209996639365,21.42042025451652
22271.0,8.0,2000.0,100.0,MISC,151.94453177633056,31.983842010772,21.394027787228325,21.420662897262222
22271.0,8.0,2000.0,100.0,MISC,119.03478456014362,31.53309400942338,21.396223656423707,21.41499665091228
22312.0,8.0,2000.0,100.0,MISC,134.9119031607263,31.44153225806452,10.6833218269509,10.691861588755689
22262.0,8.0,2000.0,100.0,MISC,132.88319856244385,31.13759820426487,10.704250051054762,10.713290429754347
22265.0,8.0,2000.0,100.0,MISC,171.58595859585958,31.57194244604317,21.44256387800715,21.46423780300366
448.0,5.0,200.0,100.0,MISC,774.3483146067416,13.347826086956523,3.976050400685879,1.9809878796178808
569.0,5.0,200.0,100.0,MISC,699.504761904762,17.412844036697248,2.6814065035603463,1.3772948062337866
682.0,5.0,200.0,100.0,MISC,562.2426470588234,4.935251798561152,2.2663086019456387,1.2187371850013733
585.0,5.0,200.0,100.0,MISC,675.1794871794872,7.075630252100838,4.381442688774964,2.0807259289686346
77.0,8.0,1600.0,100.0,MISC,108.8,8.555555555555555,1.0960456772070182,1.404189161172039
78.0,8.0,1600.0,100.0,MISC,109.0,32.94444444444444,1.0957803369352692,1.400772673519034
598.0,6.0,200.0,100.0,MISC,1107.1239669421489,47.59349593495936,3.08875344568491,1.9365889332294464
2166.0,16.0,1600.0,50.0,T4,2160.6281755196305,0.0229357798165137,1.3696845906959245,9.179311065774757
2185.0,16.0,1600.0,50.0,T4,2155.503432494279,0.0091116173120728,1.3096751155331732,9.107002266564152
2203.0,16.0,1600.0,50.0,T4,2169.1913439635537,0.0316742081447963,1.3414229011966197,9.048403060210882
2206.0,16.0,1600.0,50.0,T4,2130.981859410431,0.0090293453724604,1.325771573310097,9.028081031482634
2246.0,16.0,1600.0,50.0,T4,2100.365256124722,0.0088495575221238,1.2236386733273534,8.877344997480478
2268.0,16.0,1600.0,50.0,T4,2161.5121412803533,0.0219298245614035,1.262066354962877,8.772457452111876
2493.0,16.0,1600.0,50.0,T4,2039.5694164989936,0.004,1.157212679510464,7.996580849344027
2554.0,16.0,1600.0,50.0,T4,2023.5442043222008,0.01953125,1.1298614864257577,7.8129263734898835
40.0,10.0,100.0,100.0,T4,73.85714285714286,0.0,1.1365546762943268,1.5687801241874695
49.0,10.0,100.0,100.0,T4,46.7,0.0,1.0526447354682855,1.386196716023343
89.0,10.0,1000.0,100.0,MISC,133.57894736842104,0.0,3.1079398661174555,1.136015585539016
37.0,4.0,1800.0,100.0,T4,69.57142857142857,0.3333333333333333,1.1873077262531628,1.1982354535297914
41.0,4.0,1800.0,100.0,T4,63.28571428571429,0.0,1.009265185757117,1.1073663939129224
7733.0,5.0,600.0,25.0,MISC,294.59314359637773,2.500968366688186,2.4627237772989656,2.633611165131292
7729.0,5.0,600.0,25.0,MISC,258.5688429217841,2.6507424144609426,2.123579423019002,2.127931053974936
171.0,10.0,400.0,20.0,MISC,172.28571428571428,0.0,4.223845461240182,2.1002096358018045
1341.0,10.0,1000.0,100.0,MISC,338.64575645756463,0.0,12.446169377460969,6.522497478410275
1344.0,10.0,1000.0,100.0,MISC,333.1561338289963,0.0,12.56047053263956,6.6070513908406765
1361.0,10.0,1000.0,100.0,MISC,335.44322344322336,0.0,12.42990394876055,6.514325401489286
1374.0,10.0,1000.0,100.0,MISC,319.6981818181818,0.0,12.511610979755078,6.588713189179751
1417.0,10.0,1000.0,100.0,MISC,336.48056537102474,0.0,6.649287989045063,3.616379131760955
1504.0,10.0,1000.0,100.0,MISC,342.63455149501664,0.0,6.44098199903965,3.5465560142866903
1428.0,10.0,1000.0,100.0,MISC,320.97212543554014,0.0,6.5865886257640245,3.5769339144743717
1470.0,10.0,1000.0,100.0,MISC,304.18983050847464,0.0,11.453669020289363,6.014649763005633
1536.0,10.0,1000.0,100.0,MISC,334.3843648208469,0.0,6.270993324721358,3.431854765993989
1587.0,10.0,1000.0,100.0,MISC,293.84227129337535,0.0,6.069273574515667,3.3209865034508557
908.0,2.0,100.0,100.0,MISC,1155.353591160221,52.32608695652174,2.069295533484704,1.0009902606542047
19.0,2.0,1800.0,100.0,MISC,88.0,7.0,1.1494722004447664,1.5936872937849589
18.0,2.0,1800.0,100.0,MISC,87.33333333333331,0.5,1.1776424508009637,1.6423157836709708
48.0,4.0,1800.0,100.0,T4,58.55555555555557,39.25,1.1790521339728282,1.1019657804415777
64.0,2.0,1600.0,100.0,MISC,77.25,0.6666666666666666,1.2175996927544475,1.5998141784220934
64.0,2.0,1600.0,100.0,MISC,81.0,14.285714285714285,1.3201094016432762,1.7254035905003549
5518.0,4.0,600.0,25.0,T4,125.5757026291931,4.248868778280543,4.515363836077116,4.95467194110532
109.0,8.0,1600.0,100.0,T4,152.2608695652174,12.96,1.3228935756935523,1.03422138438775
115.0,8.0,1600.0,100.0,T4,153.47826086956522,8.653846153846152,1.4777997682491937,1.1608680975106027
126.0,8.0,1600.0,100.0,T4,142.24,7.178571428571429,1.3285598081761394,1.0258651907587875
41.0,2.0,1600.0,100.0,T4,68.57142857142857,0.0,1.7654593261805447,2.4203050407496365
42.0,2.0,1600.0,100.0,T4,53.44444444444444,0.0,1.5621831013510623,1.916210301220417
25882.0,3.0,600.0,100.0,T4,703.3739130434783,54.653920432599456,15.729688599968963,5.5211848319857175
25892.0,3.0,600.0,100.0,T4,463.5740776511493,47.1034749034749,9.820031032225062,8.007015092074413
69989.0,8.0,600.0,50.0,MISC,493.9722797742372,20.730090707806585,8.053886685744178,7.475039841381449
70015.0,8.0,600.0,50.0,MISC,525.9119474398343,22.65733666547661,11.874254956577106,11.035120956639606
70000.0,8.0,600.0,50.0,MISC,532.6327142857143,20.628865243162178,17.159823827152366,15.920149189961917
144.0,10.0,600.0,25.0,MISC,88.31818181818181,0.0,1.3901124343276023,1.1640739107131959
36.0,4.0,1800.0,100.0,MISC,132.71428571428572,0.0,2.9848295815966344,2.2126605707136067
37.0,4.0,1800.0,100.0,MISC,146.85714285714286,0.1,2.9863247221166436,2.2124386009844867
2377.0,10.0,600.0,25.0,MISC,126.63291139240508,2.40251572327044,7.706939127311796,7.940226321330753
3937.0,10.0,600.0,25.0,MISC,90.32020330368488,1.6476552598225602,9.327557778349028,9.603889811435076
2381.0,10.0,600.0,25.0,MISC,136.68,2.7238493723849366,15.428337907601374,15.842118146150744
2238.0,10.0,600.0,25.0,MISC,164.43624161073825,1.1377777777777778,17.029344143482245,16.82653650695958
3247.0,10.0,600.0,25.0,MISC,116.84591679506936,6.697388632872504,11.334974303704463,11.63778273540726
2739.0,8.0,600.0,100.0,MISC,165.63071297989032,3.3272727272727267,8.29201200655822,8.577009181997413
2764.0,8.0,600.0,100.0,MISC,160.998191681736,3.106306306306306,16.41510159178525,16.968201434015697
3224.0,8.0,600.0,100.0,MISC,148.74263565891476,6.58641975308642,14.126050777675927,14.593777674498561
3246.0,8.0,600.0,100.0,MISC,143.36825885978428,2.911042944785277,14.038014828131903,14.509464192662001
117.0,4.0,400.0,200.0,MISC,85.95652173913044,38.92307692307692,1.8124375232943781,1.2485606766961241
117.0,4.0,400.0,200.0,MISC,87.95652173913044,40.846153846153854,1.8040254910786944,1.241471270168269
117.0,4.0,400.0,200.0,MISC,85.72727272727273,37.36,1.8794921779861817,1.2939853885999093
4450.0,10.0,600.0,25.0,P100,157.04274465691788,3.3318385650224216,10.240396644699013,10.612316282372191
4455.0,10.0,600.0,25.0,P100,162.2384701912261,3.3549832026875697,10.263089219473244,10.609115256290687
4466.0,10.0,600.0,25.0,P100,157.58902575587905,3.5133928571428568,20.419973684942043,21.12467535639985
4457.0,10.0,600.0,25.0,P100,162.64646464646464,3.039106145251397,10.25376952504479,10.58579840499429
4452.0,10.0,600.0,25.0,P100,171.95613048368958,3.097424412094065,10.253869516204134,10.598968660213073
3182.0,16.0,200.0,50.0,T4,151.4756671899529,51.60876369327074,1.13759153613355,1.2450643641292118
3377.0,16.0,200.0,50.0,T4,151.8059259259259,54.05014749262537,1.1617309654979187,1.1752756122000438
3382.0,16.0,200.0,50.0,T4,151.56888888888892,51.53687315634218,1.037872129823568,1.1734451528128362
3410.0,16.0,200.0,50.0,T4,151.44052863436124,53.44444444444444,1.1079903363746448,1.1633617659228561
3411.0,16.0,200.0,50.0,T4,153.48755490483163,53.4029197080292,1.1291657276994633,1.1617636877728446
3446.0,16.0,200.0,50.0,T4,148.92185238784367,54.14430014430015,1.0656770674420537,1.1482171526108935
30298.0,8.0,600.0,100.0,MISC,274.8,21.85749628896586,9.010081214085712,7.6706638681876775
30284.0,8.0,600.0,100.0,MISC,207.89991742361684,18.00891236177587,7.68490894067135,6.5464786743505465
30292.0,8.0,600.0,100.0,MISC,228.89551006932984,17.249298795578287,7.394864083148837,6.227060865544469
30293.0,8.0,600.0,100.0,MISC,287.95444040937605,23.72677775944564,9.538198776399339,8.118899122427463
30301.0,8.0,600.0,100.0,MISC,263.76530780656867,20.75024744308809,8.496901361807216,7.230987339093605
30305.0,8.0,600.0,100.0,MISC,269.3798053126547,19.61279683377309,4.054961705775371,3.453950029971525
30322.0,8.0,600.0,100.0,MISC,272.32008575197887,19.38091313664084,8.012997437297965,6.750153525670451
73.0,8.0,800.0,100.0,P100,58.73333333333333,0.2941176470588235,1.1755503341555595,1.538249307949292
76.0,8.0,800.0,100.0,P100,54.6,1.0,1.1935431843525486,1.5496072537804908
1495.0,16.0,200.0,50.0,T4,154.9866220735786,24.08609271523179,1.008323883336566,2.6251073759479495
2356.0,2.0,9000.0,800.0,V100M32,2466.583864118896,258.40506329113924,1.5462412539595058,1.595026942507217
1816.0,8.0,600.0,25.0,MISC,114.90633608815428,1.978142076502732,14.589611724871702,15.043937396633691
1816.0,8.0,600.0,25.0,MISC,114.46005509641871,2.8986301369863017,7.33431578579813,7.531490585317567
2704.0,8.0,600.0,25.0,MISC,95.62983425414365,0.9724770642201837,9.789269391665636,10.101469022450429
4440.0,8.0,600.0,100.0,MISC,50.50056369785795,0.9213483146067416,3.014247143618119,3.0984603877019405
1801.0,8.0,600.0,25.0,MISC,130.04709141274242,2.495867768595041,14.668953102225295,15.152696420960538
